rms,peak,crest_factor,kurtosis,skewness,spectral_centroid,spectral_bandwidth,spectral_kurtosis,peak_freq,peak_amp,BER_0-100Hz,BER_100-300Hz,BER_300-600Hz,BER_600-1000Hz,BER_1000-2000Hz,BER_2000-5000Hz,BER_5000-9216Hz,stft_mean_energy,stft_energy_var,stft_temporal_cog,label,class_name
0.6364986077943585,2.555946111679077,4.015634975824658,0.21496896025793077,-0.07626545269584388,2890.401879344051,2483.089318840117,2.983053869715477,120.0,0.31786757707595825,0.04630385711789131,0.13405774533748627,0.08263496309518814,0.06588494032621384,0.3857082426548004,0.24542729556560516,0.03998297452926636,0.15194027636979637,0.0018442804769648099,0.19832402624142945,0,Normal
0.6279733187240526,2.779453992843628,4.426070130225213,0.2563217324896412,-0.12544716455969818,3032.7038951796635,2542.7990256700555,2.7083810086803672,120.0,0.37262430787086487,0.06258634477853775,0.19857685267925262,0.07065242528915405,0.05010973662137985,0.3458981215953827,0.2224266082048416,0.04974986985325813,0.15636860344407794,0.0021281108021151823,0.20585730364382482,0,Normal
0.6655355858886132,3.5479066371917725,5.33090440107063,0.5176531667240032,-0.06913197428331526,2969.712622310043,2482.792573529413,2.9305929788164256,120.0,0.3685953617095947,0.03312768042087555,0.15886344015598297,0.06054571643471718,0.053276002407073975,0.4166296720504761,0.23453845083713531,0.04301898926496506,0.16190496374360452,0.001654917729929149,0.20304001671516853,0,Normal
0.6720191782461254,3.5479066371917725,5.279472222290712,0.49455378076583445,-0.09656275488913149,3045.8807331085254,2551.2464051557163,2.695731945297916,120.0,0.34086546301841736,0.04240652918815613,0.159029021859169,0.0695771798491478,0.0663066878914833,0.37511056661605835,0.2351040542125702,0.05246604233980179,0.15515469712114774,0.0014733019988411307,0.19847743255065717,0,Normal
0.6393378443302574,2.812575101852417,4.399200020462965,0.19016521442763734,-0.16671874926482083,2995.224287806277,2505.796959212459,2.8162689791919138,120.0,0.33005034923553467,0.04275915399193764,0.14260190725326538,0.06621965020895004,0.06834985315799713,0.39128729701042175,0.2413434386253357,0.04743874818086624,0.15087083338755802,0.0013388497453812901,0.20130570284512195,0,Normal
0.6264248429351514,2.5650486946105957,4.094742861161886,0.06298303314891429,-0.057267516818716925,3017.7644278510766,2559.9073955569033,2.7340707586140054,120.0,0.3267756998538971,0.05006081610918045,0.17650730907917023,0.06391361355781555,0.07190537452697754,0.363273948431015,0.22398389875888824,0.05035513639450073,0.14949238448798755,0.0016347708321490509,0.19844166146955386,0,Normal
0.6350968072988843,2.6294143199920654,4.140178707201159,0.17030772403850847,-0.10364478698708665,2996.01923949556,2505.792542904659,2.814230213126042,120.0,0.3165750503540039,0.035523854196071625,0.1482122242450714,0.07370408624410629,0.06432648003101349,0.3615776598453522,0.26836562156677246,0.04829016327857971,0.1462677926167207,0.0014270118931638382,0.2030164860234744,0,Normal
0.6454076398630249,2.8498525619506836,4.415585347579175,0.2376660117285092,-0.17229262397365075,2965.3397908045204,2477.865334495495,2.880074735495974,120.0,0.34467822313308716,0.059012409299612045,0.1513148844242096,0.059664588421583176,0.06910554319620132,0.3869614005088806,0.22765353322029114,0.04628752917051315,0.15359534560697896,0.0017689709623717456,0.21239785780777803,0,Normal
0.641174169924764,2.8498525619506836,4.444740058442603,0.19481307148030025,-0.1375527630993988,2922.1298816400704,2466.081177164565,2.941679757722582,120.0,0.37998637557029724,0.04749675095081329,0.18702200055122375,0.0787416622042656,0.05858732759952545,0.37072888016700745,0.21683110296726227,0.040592260658741,0.15969516475746098,0.0023073571742599904,0.20527249561346222,0,Normal
0.6365100573490552,2.6333982944488525,4.1372453155634465,0.2881485857476531,-0.13040647953932133,3058.494224293889,2597.0172113603276,2.630015778967878,120.0,0.35192543268203735,0.0459122359752655,0.17991241812705994,0.07793592661619186,0.08105050772428513,0.34639567136764526,0.21135251224040985,0.05744071304798126,0.1565096290207509,0.0018071240659922822,0.203301369977404,0,Normal
